Title:               Industrial Production Index
Series ID:           INDPRO
Source:              Board of Governors of the Federal Reserve System
Release:             G.17 Industrial Production and Capacity Utilization
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Index 2007=100
Date Range:          1919-01-01 to 2013-03-01
Last Updated:        2013-04-16 8:46 AM CDT
Notes:               

DATE           VALUE
1932-10-01    4.1597
1932-11-01    4.1597
1932-12-01    4.0792
1933-01-01    3.9987
1933-02-01    4.0255
1933-03-01    3.7840
1933-04-01    4.0524
1933-05-01    4.7233
1933-06-01    5.4479
1933-07-01    5.9578
1933-08-01    5.7163
1933-09-01    5.3942
1933-10-01    5.1259
1933-11-01    4.8306
1933-12-01    4.8575
1934-01-01    5.0185
1934-02-01    5.2600
1934-03-01    5.5016
1934-04-01    5.5016
1934-05-01    5.6089
1934-06-01    5.5016
1934-07-01    5.1259
1934-08-01    5.0722
1934-09-01    4.7770
1934-10-01    4.9917
1934-11-01    5.0453
1934-12-01    5.3674
1935-01-01    5.7968
1935-02-01    5.9041
1935-03-01    5.8773
1935-04-01    5.7699
1935-05-01    5.7699
1935-06-01    5.8504
1935-07-01    5.8504
1935-08-01    6.0651
1935-09-01    6.2262
1935-10-01    6.4140
1935-11-01    6.5482
1935-12-01    6.6287
1936-01-01    6.5214
1936-02-01    6.3603
1936-03-01    6.4409
1936-04-01    6.8434
1936-05-01    6.9776
1936-06-01    7.1118
1936-07-01    7.2460
1936-08-01    7.3533
1936-09-01    7.4875
1936-10-01    7.5948
1936-11-01    7.8096
1936-12-01    8.0511
1937-01-01    8.0242
1937-02-01    8.1316
1937-03-01    8.3194
1937-04-01    8.3195
1937-05-01    8.3463
1937-06-01    8.2389
1937-07-01    8.2926
1937-08-01    8.2389
1937-09-01    7.9706
1937-10-01    7.3802
1937-11-01    6.6556
1937-12-01    6.0651
1938-01-01    5.9310
1938-02-01    5.8773
1938-03-01    5.8773
1938-04-01    5.7699
1938-05-01    5.6358
1938-06-01    5.6894
1938-07-01    6.0115
1938-08-01    6.3335
1938-09-01    6.5214
1938-10-01    6.6824
1938-11-01    6.9508
1938-12-01    7.0313
1939-01-01    7.0313
1939-02-01    7.0849
1939-03-01    7.1118
1939-04-01    7.0849
1939-05-01    7.0581
1939-06-01    7.2191
1939-07-01    7.4338
1939-08-01    7.5412
1939-09-01    7.9974
1939-10-01    8.4000
1939-11-01    8.6147
1939-12-01    8.6147
1940-01-01    8.5073
1940-02-01    8.2389
1940-03-01    8.0511
1940-04-01    8.2121
1940-05-01    8.4536
1940-06-01    8.7220
1940-07-01    8.8293
1940-08-01    8.8830
1940-09-01    9.0709
1940-10-01    9.2051
1940-11-01    9.4198
1940-12-01    9.7418
1941-01-01    9.9833
1941-02-01   10.2785
1941-03-01   10.6006
1941-04-01   10.6274
1941-05-01   11.1105
1941-06-01   11.1910
1941-07-01   11.3252
1941-08-01   11.4594
1941-09-01   11.4594
1941-10-01   11.5667
1941-11-01   11.6204
1941-12-01   11.8082
1942-01-01   12.0498
1942-02-01   12.2645
1942-03-01   12.3987
1942-04-01   12.0498
1942-05-01   12.0766
1942-06-01   12.1035
1942-07-01   12.3987
1942-08-01   12.7744
1942-09-01   13.0696
1942-10-01   13.4990
1942-11-01   13.8210
1942-12-01   14.1431
1943-01-01   14.2773
1943-02-01   14.6530
1943-03-01   14.7603
1943-04-01   14.9482
1943-05-01   15.0555
1943-06-01   14.9750
1943-07-01   15.4312
1943-08-01   15.7533
1943-09-01   16.1558
1943-10-01   16.3974
1943-11-01   16.6121
1943-12-01   16.3973
1944-01-01   16.5852
1944-02-01   16.7194
1944-03-01   16.6926
1944-04-01   16.6926
1944-05-01   16.5852
1944-06-01   16.5315
1944-07-01   16.5047
1944-08-01   16.7194
1944-09-01   16.6121
1944-10-01   16.6657
1944-11-01   16.5315
1944-12-01   16.4779
1945-01-01   16.3168
1945-02-01   16.2632
1945-03-01   16.1558
1945-04-01   15.8606
1945-05-01   15.4312
1945-06-01   15.0824
1945-07-01   14.7335
1945-08-01   13.2038
1945-09-01   12.0229
1945-10-01   11.5399
1945-11-01   11.9693
1945-12-01   12.0229
1946-01-01   11.3520
1946-02-01   10.7884
1946-03-01   11.9156
1946-04-01   11.7009
1946-05-01   11.2715
1946-06-01   11.9693
1946-07-01   12.3718
1946-08-01   12.8280
1946-09-01   13.0696
1946-10-01   13.3111
1946-11-01   13.3916
1946-12-01   13.4721
1947-01-01   13.6332
1947-02-01   13.7137
1947-03-01   13.7942
1947-04-01   13.6868
1947-05-01   13.7405
1947-06-01   13.7405
1947-07-01   13.6600
1947-08-01   13.7405
1947-09-01   13.8479
1947-10-01   13.9820
1947-11-01   14.1699
1947-12-01   14.2236
1948-01-01   14.3041
1948-02-01   14.3309
1948-03-01   14.1699
1948-04-01   14.1967
1948-05-01   14.4383
1948-06-01   14.6261
1948-07-01   14.6261
1948-08-01   14.5724
1948-09-01   14.4651
1948-10-01   14.5725
1948-11-01   14.3846
1948-12-01   14.2504
1949-01-01   14.1162
1949-02-01   13.9820
1949-03-01   13.7137
1949-04-01   13.6332
1949-05-01   13.4453
1949-06-01   13.4185
1949-07-01   13.3916
1949-08-01   13.5258
1949-09-01   13.6600
1949-10-01   13.1501
1949-11-01   13.4990
1949-12-01   13.7405
1950-01-01   13.9820
1950-02-01   14.0357
1950-03-01   14.4919
1950-04-01   14.9750
1950-05-01   15.3239
1950-06-01   15.7801
1950-07-01   16.2900
1950-08-01   16.7999
1950-09-01   16.6926
1950-10-01   16.7999
1950-11-01   16.7731
1950-12-01   17.0683
1951-01-01   17.1219
1951-02-01   17.2293
1951-03-01   17.3098
1951-04-01   17.3367
1951-05-01   17.2830
1951-06-01   17.2025
1951-07-01   16.9341
1951-08-01   16.7731
1951-09-01   16.8804
1951-10-01   16.8536
1951-11-01   16.9878
1951-12-01   17.0951
1952-01-01   17.2830
1952-02-01   17.3903
1952-03-01   17.4440
1952-04-01   17.2830
1952-05-01   17.1220
1952-06-01   16.9609
1952-07-01   16.6926
1952-08-01   17.7660
1952-09-01   18.4101
1952-10-01   18.5980
1952-11-01   18.9737
1952-12-01   19.0810
1953-01-01   19.1347
1953-02-01   19.2421
1953-03-01   19.4031
1953-04-01   19.4836
1953-05-01   19.5910
1953-06-01   19.5104
1953-07-01   19.7520
1953-08-01   19.6446
1953-09-01   19.2421
1953-10-01   19.0811
1953-11-01   18.6248
1953-12-01   18.1686
1954-01-01   18.0344
1954-02-01   18.0881
1954-03-01   17.9807
1954-04-01   17.8734
1954-05-01   17.9807
1954-06-01   18.0344
1954-07-01   18.0612
1954-08-01   18.0344
1954-09-01   18.0613
1954-10-01   18.2760
1954-11-01   18.5711
1954-12-01   18.8127
1955-01-01   19.2421
1955-02-01   19.4836
1955-03-01   19.9398
1955-04-01   20.1814
1955-05-01   20.5034
1955-06-01   20.5303
1955-07-01   20.6913
1955-08-01   20.6644
1955-09-01   20.7986
1955-10-01   21.1475
1955-11-01   21.2012
1955-12-01   21.2817
1956-01-01   21.4159
1956-02-01   21.2280
1956-03-01   21.2280
1956-04-01   21.3890
1956-05-01   21.2012
1956-06-01   21.0133
1956-07-01   20.3692
1956-08-01   21.2012
1956-09-01   21.6842
1956-10-01   21.8721
1956-11-01   21.6842
1956-12-01   22.0063
1957-01-01   21.9258
1957-02-01   22.1405
1957-03-01   22.1136
1957-04-01   21.8184
1957-05-01   21.7379
1957-06-01   21.7916
1957-07-01   21.9258
1957-08-01   21.9258
1957-09-01   21.7379
1957-10-01   21.4159
1957-11-01   20.9060
1957-12-01   20.5034
1958-01-01   20.1277
1958-02-01   19.6983
1958-03-01   19.4568
1958-04-01   19.1347
1958-05-01   19.3226
1958-06-01   19.8325
1958-07-01   20.1277
1958-08-01   20.5302
1958-09-01   20.7181
1958-10-01   20.9596
1958-11-01   21.5769
1958-12-01   21.6037
1959-01-01   21.9258
1959-02-01   22.3552
1959-03-01   22.6772
1959-04-01   23.1603
1959-05-01   23.5092
1959-06-01   23.5360
1959-07-01   22.9724
1959-08-01   22.1941
1959-09-01   22.1673
1959-10-01   22.0063
1959-11-01   22.1405
1959-12-01   23.5091
1960-01-01   24.1264
1960-02-01   23.9117
1960-03-01   23.6970
1960-04-01   23.5092
1960-05-01   23.4823
1960-06-01   23.1871
1960-07-01   23.1066
1960-08-01   23.0798
1960-09-01   22.8382
1960-10-01   22.8114
1960-11-01   22.4894
1960-12-01   22.0599
1961-01-01   22.0868
1961-02-01   22.0599
1961-03-01   22.1942
1961-04-01   22.6504
1961-05-01   22.9993
1961-06-01   23.3213
1961-07-01   23.5897
1961-08-01   23.8043
1961-09-01   23.7775
1961-10-01   24.2337
1961-11-01   24.6095
1961-12-01   24.8242
1962-01-01   24.6095
1962-02-01   25.0120
1962-03-01   25.1462
1962-04-01   25.1999
1962-05-01   25.1730
1962-06-01   25.1194
1962-07-01   25.3609
1962-08-01   25.3877
1962-09-01   25.5488
1962-10-01   25.5756
1962-11-01   25.6829
1962-12-01   25.6829
1963-01-01   25.8708
1963-02-01   26.1660
1963-03-01   26.3270
1963-04-01   26.5686
1963-05-01   26.8906
1963-06-01   26.9711
1963-07-01   26.8638
1963-08-01   26.9174
1963-09-01   27.1858
1963-10-01   27.3737
1963-11-01   27.5078
1963-12-01   27.4542
1964-01-01   27.6957
1964-02-01   27.8836
1964-03-01   27.8836
1964-04-01   28.3398
1964-05-01   28.5008
1964-06-01   28.5813
1964-07-01   28.7692
1964-08-01   28.9570
1964-09-01   29.0644
1964-10-01   28.6618
1964-11-01   29.5475
1964-12-01   29.8963
1965-01-01   30.2184
1965-02-01   30.4063
1965-03-01   30.8088
1965-04-01   30.9430
1965-05-01   31.1845
1965-06-01   31.4260
1965-07-01   31.7212
1965-08-01   31.8554
1965-09-01   31.9360
1965-10-01   32.2580
1965-11-01   32.3922
1965-12-01   32.7947
1966-01-01   33.1168
1966-02-01   33.3315
1966-03-01   33.7877
1966-04-01   33.8414
1966-05-01   34.1634
1966-06-01   34.3244
1966-07-01   34.5123
1966-08-01   34.5391
1966-09-01   34.8612
1966-10-01   35.1027
1966-11-01   34.8612
1966-12-01   34.9417
1967-01-01   35.1065
1967-02-01   34.7083
1967-03-01   34.5127
1967-04-01   34.8382
1967-05-01   34.5343
1967-06-01   34.5299
1967-07-01   34.4513
1967-08-01   35.1114
1967-09-01   35.0543
1967-10-01   35.3398
1967-11-01   35.8452
1967-12-01   36.2313
1968-01-01   36.1923
1968-02-01   36.3220
1968-03-01   36.4354
1968-04-01   36.4881
1968-05-01   36.8974
1968-06-01   37.0330
1968-07-01   36.9762
1968-08-01   37.0794
1968-09-01   37.2198
1968-10-01   37.2937
1968-11-01   37.7761
1968-12-01   37.8954
1969-01-01   38.1246
1969-02-01   38.3686
1969-03-01   38.6695
1969-04-01   38.5272
1969-05-01   38.3816
1969-06-01   38.7565
1969-07-01   38.9612
1969-08-01   39.0507
1969-09-01   39.0419
1969-10-01   39.0534
1969-11-01   38.6852
1969-12-01   38.5814
1970-01-01   37.8670
1970-02-01   37.8420
1970-03-01   37.7929
1970-04-01   37.6957
1970-05-01   37.6518
1970-06-01   37.5300
1970-07-01   37.6221
1970-08-01   37.5551
1970-09-01   37.2962
1970-10-01   36.5501
1970-11-01   36.3287
1970-12-01   37.1630
1971-01-01   37.4489
1971-02-01   37.3775
1971-03-01   37.3370
1971-04-01   37.5467
1971-05-01   37.7372
1971-06-01   37.8955
1971-07-01   37.7855
1971-08-01   37.5662
1971-09-01   38.1767
1971-10-01   38.4625
1971-11-01   38.6257
1971-12-01   39.0717
1972-01-01   40.0117
1972-02-01   40.3863
1972-03-01   40.6932
1972-04-01   41.1121
1972-05-01   41.0952
1972-06-01   41.2011
1972-07-01   41.1857
1972-08-01   41.7243
1972-09-01   42.0420
1972-10-01   42.6136
1972-11-01   43.1166
1972-12-01   43.6090
1973-01-01   43.9067
1973-02-01   44.5663
1973-03-01   44.5794
1973-04-01   44.5048
1973-05-01   44.7958
1973-06-01   44.8142
1973-07-01   45.0052
1973-08-01   44.9305
1973-09-01   45.3328
1973-10-01   45.6448
1973-11-01   45.8713
1973-12-01   45.7546
1974-01-01   45.4280
1974-02-01   45.2944
1974-03-01   45.2926
1974-04-01   45.1762
1974-05-01   45.5011
1974-06-01   45.4698
1974-07-01   45.4636
1974-08-01   45.0367
1974-09-01   45.0701
1974-10-01   44.9004
1974-11-01   43.4215
1974-12-01   41.8828
1975-01-01   41.3274
1975-02-01   40.3683
1975-03-01   39.9470
1975-04-01   39.9698
1975-05-01   39.8807
1975-06-01   40.1552
1975-07-01   40.5908
1975-08-01   40.9436
1975-09-01   41.4621
1975-10-01   41.6199
1975-11-01   41.7229
1975-12-01   42.2509
1976-01-01   42.8720
1976-02-01   43.2761
1976-03-01   43.3203
1976-04-01   43.5819
1976-05-01   43.7805
1976-06-01   43.7814
1976-07-01   44.0401
1976-08-01   44.3343
1976-09-01   44.4697
1976-10-01   44.4940
1976-11-01   45.1501
1976-12-01   45.6195
1977-01-01   45.3563
1977-02-01   46.0255
1977-03-01   46.5966
1977-04-01   47.0473
1977-05-01   47.4442
1977-06-01   47.7972
1977-07-01   47.8684
1977-08-01   47.8890
1977-09-01   48.1260
1977-10-01   48.2491
1977-11-01   48.2611
1977-12-01   48.3308
1978-01-01   47.6711
1978-02-01   47.9159
1978-03-01   48.8332
1978-04-01   49.8095
1978-05-01   49.9957
1978-06-01   50.3438
1978-07-01   50.3213
1978-08-01   50.5155
1978-09-01   50.6615
1978-10-01   51.0730
1978-11-01   51.4378
1978-12-01   51.7286
1979-01-01   51.3846
1979-02-01   51.6782
1979-03-01   51.8417
1979-04-01   51.2822
1979-05-01   51.6752
1979-06-01   51.6881
1979-07-01   51.5907
1979-08-01   51.2520
1979-09-01   51.3239
1979-10-01   51.6002
1979-11-01   51.5484
1979-12-01   51.5847
1980-01-01   51.8063
1980-02-01   51.8470
1980-03-01   51.6878
1980-04-01   50.6440
1980-05-01   49.3989
1980-06-01   48.7957
1980-07-01   48.4736
1980-08-01   48.6131
1980-09-01   49.3959
1980-10-01   50.0159
1980-11-01   50.8791
1980-12-01   51.1800
1981-01-01   50.8967
1981-02-01   50.6602
1981-03-01   50.9233
1981-04-01   50.7052
1981-05-01   51.0166
1981-06-01   51.2520
1981-07-01   51.5741
1981-08-01   51.5705
1981-09-01   51.2438
1981-10-01   50.8858
1981-11-01   50.3243
1981-12-01   49.7682
1982-01-01   48.7888
1982-02-01   49.7437
1982-03-01   49.3759
1982-04-01   48.9480
1982-05-01   48.6460
1982-06-01   48.4828
1982-07-01   48.3296
1982-08-01   47.9279
1982-09-01   47.7652
1982-10-01   47.3544
1982-11-01   47.1694
1982-12-01   46.8266
1983-01-01   47.7233
1983-02-01   47.4359
1983-03-01   47.8323
1983-04-01   48.4137
1983-05-01   48.7457
1983-06-01   49.0101
1983-07-01   49.7548
1983-08-01   50.2966
1983-09-01   51.0627
1983-10-01   51.4756
1983-11-01   51.6343
1983-12-01   51.8982
1984-01-01   52.9491
1984-02-01   53.2113
1984-03-01   53.4583
1984-04-01   53.7883
1984-05-01   54.0548
1984-06-01   54.2465
1984-07-01   54.4259
1984-08-01   54.4674
1984-09-01   54.3806
1984-10-01   54.3072
1984-11-01   54.5132
1984-12-01   54.5701
1985-01-01   54.4381
1985-02-01   54.6703
1985-03-01   54.7362
1985-04-01   54.6038
1985-05-01   54.6728
1985-06-01   54.7111
1985-07-01   54.3320
1985-08-01   54.5721
1985-09-01   54.8033
1985-10-01   54.5836
1985-11-01   54.7706
1985-12-01   55.3344
1986-01-01   55.6058
1986-02-01   55.1999
1986-03-01   54.8525
1986-04-01   54.8901
1986-05-01   54.9861
1986-06-01   54.8093
1986-07-01   55.1631
1986-08-01   55.0442
1986-09-01   55.1398
1986-10-01   55.3932
1986-11-01   55.6496
1986-12-01   56.1365
1987-01-01   55.9547
1987-02-01   56.6780
1987-03-01   56.7669
1987-04-01   57.1074
1987-05-01   57.4980
1987-06-01   57.8001
1987-07-01   58.1706
1987-08-01   58.5913
1987-09-01   58.7470
1987-10-01   59.6380
1987-11-01   59.9544
1987-12-01   60.2339
1988-01-01   60.2600
1988-02-01   60.5044
1988-03-01   60.6476
1988-04-01   60.9699
1988-05-01   60.9173
1988-06-01   61.0666
1988-07-01   61.1463
1988-08-01   61.4037
1988-09-01   61.1930
1988-10-01   61.5135
1988-11-01   61.6195
1988-12-01   61.8878
1989-01-01   62.0475
1989-02-01   61.7888
1989-03-01   61.9629
1989-04-01   61.9874
1989-05-01   61.5734
1989-06-01   61.6115
1989-07-01   61.0181
1989-08-01   61.5467
1989-09-01   61.3895
1989-10-01   61.3233
1989-11-01   61.5088
1989-12-01   61.8707
1990-01-01   61.4958
1990-02-01   62.0704
1990-03-01   62.4040
1990-04-01   62.3220
1990-05-01   62.4423
1990-06-01   62.6427
1990-07-01   62.5518
1990-08-01   62.7296
1990-09-01   62.8545
1990-10-01   62.3786
1990-11-01   61.6223
1990-12-01   61.1932
1991-01-01   60.9240
1991-02-01   60.5331
1991-03-01   60.2184
1991-04-01   60.3174
1991-05-01   60.9240
1991-06-01   61.5212
1991-07-01   61.5051
1991-08-01   61.5969
1991-09-01   62.1338
1991-10-01   61.9979
1991-11-01   61.9310
1991-12-01   61.7052
1992-01-01   61.3182
1992-02-01   61.7969
1992-03-01   62.2883
1992-04-01   62.7326
1992-05-01   62.9558
1992-06-01   62.9521
1992-07-01   63.4965
1992-08-01   63.1787
1992-09-01   63.3148
1992-10-01   63.8104
1992-11-01   64.0769
1992-12-01   64.0921
1993-01-01   64.4088
1993-02-01   64.6457
1993-03-01   64.6214
1993-04-01   64.8160
1993-05-01   64.5884
1993-06-01   64.7227
1993-07-01   64.9215
1993-08-01   64.8955
1993-09-01   65.2022
1993-10-01   65.6822
1993-11-01   65.9480
1993-12-01   66.2804
1994-01-01   66.5468
1994-02-01   66.5809
1994-03-01   67.2653
1994-04-01   67.6227
1994-05-01   67.9940
1994-06-01   68.4460
1994-07-01   68.5541
1994-08-01   68.9440
1994-09-01   69.1631
1994-10-01   69.7669
1994-11-01   70.2129
1994-12-01   70.9458
1995-01-01   71.0841
1995-02-01   71.0389
1995-03-01   71.1524
1995-04-01   71.1219
1995-05-01   71.3093
1995-06-01   71.5697
1995-07-01   71.2942
1995-08-01   72.2334
1995-09-01   72.5002
1995-10-01   72.3714
1995-11-01   72.5587
1995-12-01   72.8395
1996-01-01   72.3593
1996-02-01   73.5136
1996-03-01   73.3994
1996-04-01   74.0141
1996-05-01   74.5297
